"Date","Count"
2017-11-26,39
2017-12-03,0
2017-12-10,27
2017-12-17,13
2017-12-24,25
2017-12-31,20
2018-01-07,32
2018-01-14,26
2018-01-21,34
2018-01-28,53
2018-02-04,29
2018-02-11,34
2018-02-18,34
2018-02-25,36
2018-03-04,22
2018-03-11,60
2018-03-18,31
2018-03-25,21
2018-04-01,43
2018-04-08,46
2018-04-15,0
2018-04-22,38
2018-04-29,18
2018-05-06,21
2018-05-13,63
2018-05-20,100
2018-05-27,59
2018-06-03,46
2018-06-10,44
2018-06-17,42
2018-06-24,43
2018-07-01,16
2018-07-08,23
2018-07-15,42
2018-07-22,19
2018-07-29,26
2018-08-05,26
2018-08-12,21
2018-08-19,50
2018-08-26,40
2018-09-02,19
2018-09-09,51
2018-09-16,42
2018-09-23,21
2018-09-30,0
2018-10-07,33
2018-10-14,48
2018-10-21,16
2018-10-28,37
2018-11-04,40
2018-11-11,26
2018-11-18,21
2018-11-25,0
2018-12-02,21
2018-12-09,28
2018-12-16,26
2018-12-23,22
2018-12-30,46
2019-01-06,28
2019-01-13,47
2019-01-20,40
2019-01-27,55
2019-02-03,26
2019-02-10,17
2019-02-17,36
2019-02-24,46
2019-03-03,51
2019-03-10,37
2019-03-17,52
2019-03-24,0
2019-03-31,31
2019-04-07,26
2019-04-14,29
2019-04-21,56
2019-04-28,0
2019-05-05,49
2019-05-12,28
2019-05-19,37
2019-05-26,38
2019-06-02,64
2019-06-09,21
2019-06-16,37
2019-06-23,31
2019-06-30,50
2019-07-07,38
2019-07-14,48
2019-07-21,33
2019-07-28,64
2019-08-04,35
2019-08-11,31
2019-08-18,39
2019-08-25,15
2019-09-01,0
2019-09-08,17
2019-09-15,35
2019-09-22,74
2019-09-29,35
2019-10-06,12
2019-10-13,53
2019-10-20,53
2019-10-27,31
2019-11-03,38
2019-11-10,22
2019-11-17,30
2019-11-24,37
2019-12-01,34
2019-12-08,14
2019-12-15,33
2019-12-22,21
2019-12-29,35
2020-01-05,32
2020-01-12,10
2020-01-19,23
2020-01-26,22
2020-02-02,49
2020-02-09,30
2020-02-16,29
2020-02-23,0
2020-03-01,44
2020-03-08,80
2020-03-15,42
2020-03-22,0
2020-03-29,17
2020-04-05,24
2020-04-12,16
2020-04-19,14
2020-04-26,17
2020-05-03,19
2020-05-10,12
2020-05-17,0
2020-05-24,48
2020-05-31,21
2020-06-07,0
2020-06-14,0
2020-06-21,43
2020-06-28,18
2020-07-05,27
2020-07-12,16
2020-07-19,10
2020-07-26,0
2020-08-02,20
2020-08-09,21
2020-08-16,13
2020-08-23,28
2020-08-30,0
2020-09-06,16
2020-09-13,12
2020-09-20,35
2020-09-27,13
2020-10-04,0
2020-10-11,16
2020-10-18,14
2020-10-25,14
2020-11-01,0
2020-11-08,15
2020-11-15,30
2020-11-22,30
2020-11-29,0
2020-12-06,0
2020-12-13,24
2020-12-20,21
2020-12-27,0
2021-01-03,17
2021-01-10,34
2021-01-17,13
2021-01-24,13
2021-01-31,14
2021-02-07,22
2021-02-14,35
2021-02-21,19
2021-02-28,0
2021-03-07,16
2021-03-14,18
2021-03-21,15
2021-03-28,23
2021-04-04,21
2021-04-11,12
2021-04-18,0
2021-04-25,17
2021-05-02,0
2021-05-09,20
2021-05-16,0
2021-05-23,0
2021-05-30,48
2021-06-06,11
2021-06-13,23
2021-06-20,20
2021-06-27,19
2021-07-04,0
2021-07-11,48
2021-07-18,28
2021-07-25,24
2021-08-01,38
2021-08-08,28
2021-08-15,38
2021-08-22,0
2021-08-29,18
2021-09-05,28
2021-09-12,16
2021-09-19,25
2021-09-26,15
2021-10-03,22
2021-10-10,26
2021-10-17,23
2021-10-24,34
2021-10-31,0
2021-11-07,0
2021-11-14,52
2021-11-21,30
2021-11-28,21
2021-12-05,69
2021-12-12,39
2021-12-19,23
2021-12-26,18
2022-01-02,0
2022-01-09,30
2022-01-16,31
2022-01-23,20
2022-01-30,21
2022-02-06,24
2022-02-13,27
2022-02-20,37
2022-02-27,24
2022-03-06,40
2022-03-13,56
2022-03-20,20
2022-03-27,17
2022-04-03,55
2022-04-10,20
2022-04-17,18
2022-04-24,26
2022-05-01,33
2022-05-08,26
2022-05-15,39
2022-05-22,62
2022-05-29,28
2022-06-05,0
2022-06-12,0
2022-06-19,30
2022-06-26,35
2022-07-03,15
2022-07-10,25
2022-07-17,41
2022-07-24,0
2022-07-31,49
2022-08-07,31
2022-08-14,41
2022-08-21,20
2022-08-28,0
2022-09-04,34
2022-09-11,20
2022-09-18,35
2022-09-25,0
2022-10-02,27
2022-10-09,27
2022-10-16,24
2022-10-23,47
2022-10-30,38
2022-11-06,24
2022-11-13,22
