"Date","Count"
2017-11-26,27
2017-12-03,26
2017-12-10,12
2017-12-17,38
2017-12-24,27
2017-12-31,36
2018-01-07,32
2018-01-14,28
2018-01-21,28
2018-01-28,34
2018-02-04,44
2018-02-11,36
2018-02-18,37
2018-02-25,29
2018-03-04,31
2018-03-11,41
2018-03-18,22
2018-03-25,37
2018-04-01,45
2018-04-08,31
2018-04-15,30
2018-04-22,34
2018-04-29,44
2018-05-06,32
2018-05-13,32
2018-05-20,60
2018-05-27,44
2018-06-03,35
2018-06-10,36
2018-06-17,43
2018-06-24,48
2018-07-01,51
2018-07-08,48
2018-07-15,44
2018-07-22,54
2018-07-29,51
2018-08-05,68
2018-08-12,33
2018-08-19,42
2018-08-26,52
2018-09-02,41
2018-09-09,41
2018-09-16,28
2018-09-23,31
2018-09-30,23
2018-10-07,40
2018-10-14,30
2018-10-21,20
2018-10-28,34
2018-11-04,19
2018-11-11,43
2018-11-18,37
2018-11-25,33
2018-12-02,20
2018-12-09,13
2018-12-16,31
2018-12-23,39
2018-12-30,54
2019-01-06,53
2019-01-13,44
2019-01-20,27
2019-01-27,36
2019-02-03,29
2019-02-10,31
2019-02-17,51
2019-02-24,34
2019-03-03,32
2019-03-10,36
2019-03-17,47
2019-03-24,32
2019-03-31,29
2019-04-07,40
2019-04-14,33
2019-04-21,63
2019-04-28,40
2019-05-05,37
2019-05-12,37
2019-05-19,43
2019-05-26,45
2019-06-02,42
2019-06-09,50
2019-06-16,42
2019-06-23,54
2019-06-30,45
2019-07-07,58
2019-07-14,38
2019-07-21,53
2019-07-28,59
2019-08-04,46
2019-08-11,63
2019-08-18,59
2019-08-25,58
2019-09-01,44
2019-09-08,48
2019-09-15,31
2019-09-22,25
2019-09-29,34
2019-10-06,36
2019-10-13,39
2019-10-20,26
2019-10-27,25
2019-11-03,31
2019-11-10,34
2019-11-17,28
2019-11-24,26
2019-12-01,27
2019-12-08,30
2019-12-15,29
2019-12-22,36
2019-12-29,50
2020-01-05,35
2020-01-12,39
2020-01-19,35
2020-01-26,34
2020-02-02,31
2020-02-09,42
2020-02-16,50
2020-02-23,40
2020-03-01,37
2020-03-08,33
2020-03-15,28
2020-03-22,20
2020-03-29,22
2020-04-05,18
2020-04-12,28
2020-04-19,23
2020-04-26,34
2020-05-03,27
2020-05-10,32
2020-05-17,42
2020-05-24,48
2020-05-31,38
2020-06-07,35
2020-06-14,39
2020-06-21,43
2020-06-28,31
2020-07-05,46
2020-07-12,48
2020-07-19,53
2020-07-26,45
2020-08-02,52
2020-08-09,58
2020-08-16,39
2020-08-23,28
2020-08-30,35
2020-09-06,46
2020-09-13,22
2020-09-20,37
2020-09-27,30
2020-10-04,30
2020-10-11,24
2020-10-18,28
2020-10-25,24
2020-11-01,19
2020-11-08,38
2020-11-15,25
2020-11-22,28
2020-11-29,35
2020-12-06,23
2020-12-13,20
2020-12-20,18
2020-12-27,28
2021-01-03,31
2021-01-10,23
2021-01-17,26
2021-01-24,22
2021-01-31,36
2021-02-07,28
2021-02-14,31
2021-02-21,22
2021-02-28,30
2021-03-07,28
2021-03-14,39
2021-03-21,33
2021-03-28,42
2021-04-04,31
2021-04-11,40
2021-04-18,30
2021-04-25,35
2021-05-02,35
2021-05-09,40
2021-05-16,36
2021-05-23,35
2021-05-30,79
2021-06-06,41
2021-06-13,35
2021-06-20,40
2021-06-27,51
2021-07-04,46
2021-07-11,69
2021-07-18,78
2021-07-25,53
2021-08-01,54
2021-08-08,45
2021-08-15,40
2021-08-22,37
2021-08-29,29
2021-09-05,37
2021-09-12,38
2021-09-19,32
2021-09-26,28
2021-10-03,26
2021-10-10,24
2021-10-17,38
2021-10-24,24
2021-10-31,32
2021-11-07,37
2021-11-14,31
2021-11-21,21
2021-11-28,23
2021-12-05,25
2021-12-12,25
2021-12-19,23
2021-12-26,27
2022-01-02,22
2022-01-09,60
2022-01-16,29
2022-01-23,37
2022-01-30,37
2022-02-06,31
2022-02-13,36
2022-02-20,32
2022-02-27,38
2022-03-06,43
2022-03-13,50
2022-03-20,52
2022-03-27,35
2022-04-03,46
2022-04-10,44
2022-04-17,48
2022-04-24,22
2022-05-01,49
2022-05-08,32
2022-05-15,40
2022-05-22,43
2022-05-29,49
2022-06-05,47
2022-06-12,49
2022-06-19,42
2022-06-26,28
2022-07-03,44
2022-07-10,76
2022-07-17,47
2022-07-24,45
2022-07-31,49
2022-08-07,61
2022-08-14,40
2022-08-21,43
2022-08-28,37
2022-09-04,34
2022-09-11,35
2022-09-18,50
2022-09-25,31
2022-10-02,36
2022-10-09,27
2022-10-16,34
2022-10-23,24
2022-10-30,40
2022-11-06,100
2022-11-13,52
